Continent_Name,Continent_Code,Country_Name,Three_Letter_Country_Code,pop2010
Asia,AS,"Afghanistan, Islamic Republic of",AFG,29185511.0
Europe,EU,"Albania, Republic of",ALB,2913021.0
Africa,AF,"Algeria, People's Democratic Republic of",DZA,35977451.0
Oceania,OC,American Samoa,ASM,56084.0
Europe,EU,"Andorra, Principality of",AND,84454.0
Africa,AF,"Angola, Republic of",AGO,23356247.0
North America,,Antigua and Barbuda,ATG,88030.0
Europe,EU,"Azerbaijan, Republic of",AZE,9054332.0
Asia,AS,"Azerbaijan, Republic of",AZE,9054332.0
South America,SA,"Argentina, Argentine Republic",ARG,40788453.0
Oceania,OC,"Australia, Commonwealth of",AUS,22031750.0
Europe,EU,"Austria, Republic of",AUT,8363404.0
North America,,"Bahamas, Commonwealth of the",BHS,354936.0
Asia,AS,"Bahrain, Kingdom of",BHR,1240864.0
Asia,AS,"Bangladesh, People's Republic of",BGD,147575433.0
Europe,EU,"Armenia, Republic of",ARM,2877314.0
Asia,AS,"Armenia, Republic of",ARM,2877314.0
North America,,Barbados,BRB,282131.0
Europe,EU,"Belgium, Kingdom of",BEL,10895586.0
North America,,Bermuda,BMU,65124.0
Asia,AS,"Bhutan, Kingdom of",BTN,685502.0
South America,SA,"Bolivia, Republic of",BOL,10048597.0
Europe,EU,Bosnia and Herzegovina,BIH,3705478.0
Africa,AF,"Botswana, Republic of",BWA,1987106.0
South America,SA,"Brazil, Federative Republic of",BRA,195713637.0
North America,,Belize,BLZ,322465.0
Oceania,OC,Solomon Islands,SLB,527861.0
North America,,British Virgin Islands,VGB,27796.0
Asia,AS,Brunei Darussalam,BRN,388634.0
Europe,EU,"Bulgaria, Republic of",BGR,7395599.0
Asia,AS,"Myanmar, Union of",MMR,50600827.0
Africa,AF,"Burundi, Republic of",BDI,8675606.0
Europe,EU,"Belarus, Republic of",BLR,9483836.0
Asia,AS,"Cambodia, Kingdom of",KHM,14312205.0
Africa,AF,"Cameroon, Republic of",CMR,20341236.0
North America,,Canada,CAN,34004889.0
Africa,AF,"Cape Verde, Republic of",CPV,492644.0
North America,,Cayman Islands,CYM,56672.0
Africa,AF,Central African Republic,CAF,4386765.0
Asia,AS,"Sri Lanka, Democratic Socialist Republic of",LKA,20261738.0
Africa,AF,"Chad, Republic of",TCD,11952134.0
South America,SA,"Chile, Republic of",CHL,17062531.0
Asia,AS,"China, People's Republic of",CHN,1337705000.0
South America,SA,"Colombia, Republic of",COL,45222699.0
Africa,AF,"Comoros, Union of the",COM,689696.0
Africa,AF,"Congo, Republic of the",COG,4273738.0
Africa,AF,"Congo, Democratic Republic of the",COD,64563853.0
North America,,"Costa Rica, Republic of",CRI,4577371.0
Europe,EU,"Croatia, Republic of",HRV,4295427.0
North America,,"Cuba, Republic of",CUB,11225833.0
Europe,EU,"Cyprus, Republic of",CYP,1112617.0
Asia,AS,"Cyprus, Republic of",CYP,1112617.0
Europe,EU,Czech Republic,CZE,10474410.0
Africa,AF,"Benin, Republic of",BEN,9199254.0
Europe,EU,"Denmark, Kingdom of",DNK,5547683.0
North America,,"Dominica, Commonwealth of",DMA,70877.0
North America,,Dominican Republic,DOM,9695117.0
South America,SA,"Ecuador, Republic of",ECU,15011114.0
North America,,"El Salvador, Republic of",SLV,6183877.0
Africa,AF,"Equatorial Guinea, Republic of",GNQ,943640.0
Africa,AF,"Ethiopia, Federal Democratic Republic of",ETH,87639962.0
Africa,AF,"Eritrea, State of",ERI,3170437.0
Europe,EU,"Estonia, Republic of",EST,1331475.0
Europe,EU,Faroe Islands,FRO,47803.0
Oceania,OC,"Fiji, Republic of the Fiji Islands",FJI,859816.0
Europe,EU,"Finland, Republic of",FIN,5363352.0
Europe,EU,"France, French Republic",FRA,65027505.0
Oceania,OC,French Polynesia,PYF,266449.0
Africa,AF,"Djibouti, Republic of",DJI,840194.0
Africa,AF,"Gabon, Gabonese Republic",GAB,1624146.0
Europe,EU,Georgia,GEO,3786695.0
