COU,Country,Pollutant,VAR,Year,Value
AUS,Australia,Greenhouse gases,TOTAL,1990,425624.307
AUS,Australia,Greenhouse gases,TOTAL,1991,425686.445
AUS,Australia,Greenhouse gases,TOTAL,1992,429473.085
AUS,Australia,Greenhouse gases,TOTAL,1993,430381.731
AUS,Australia,Greenhouse gases,TOTAL,1994,430848.498
AUS,Australia,Greenhouse gases,TOTAL,1995,439269.878
AUS,Australia,Greenhouse gases,TOTAL,1996,445847.225
AUS,Australia,Greenhouse gases,TOTAL,1997,457864.51
AUS,Australia,Greenhouse gases,TOTAL,1998,472145.832
AUS,Australia,Greenhouse gases,TOTAL,1999,478136.875
AUS,Australia,Greenhouse gases,TOTAL,2000,489528.649
AUS,Australia,Greenhouse gases,TOTAL,2001,497352.025
AUS,Australia,Greenhouse gases,TOTAL,2002,501000.843
AUS,Australia,Greenhouse gases,TOTAL,2003,501128.976
AUS,Australia,Greenhouse gases,TOTAL,2004,518408.438
AUS,Australia,Greenhouse gases,TOTAL,2005,524811.845
AUS,Australia,Greenhouse gases,TOTAL,2006,529240.641
AUS,Australia,Greenhouse gases,TOTAL,2007,535807.552
AUS,Australia,Greenhouse gases,TOTAL,2008,538590.714
AUS,Australia,Greenhouse gases,TOTAL,2009,541475.792
AUS,Australia,Greenhouse gases,TOTAL,2010,536893.738
AUS,Australia,Greenhouse gases,TOTAL,2011,538663.878
AUS,Australia,Greenhouse gases,TOTAL,2012,541899.74
AUS,Australia,Greenhouse gases,TOTAL,2013,532267.335
AUS,Australia,Greenhouse gases,TOTAL,2014,526711.78
AUS,Australia,Greenhouse gases,TOTAL,2015,534936.017
AUS,Australia,Greenhouse gases,TOTAL,2016,543976.812
AUS,Australia,Greenhouse gases,TOTAL,2017,550874.868
AUS,Australia,Greenhouse gases,TOTAL,2018,552484.025
AUS,Australia,Greenhouse gases,TOTAL,2019,546200.224
AUS,Australia,Greenhouse gases,TOTAL,2020,527737.048
AUS,Australia,Greenhouse gases,INDEX_1990,1990,100.0
AUS,Australia,Greenhouse gases,INDEX_1990,1991,100.015
AUS,Australia,Greenhouse gases,INDEX_1990,1992,100.904
AUS,Australia,Greenhouse gases,INDEX_1990,1993,101.118
AUS,Australia,Greenhouse gases,INDEX_1990,1994,101.227
AUS,Australia,Greenhouse gases,INDEX_1990,1995,103.206
AUS,Australia,Greenhouse gases,INDEX_1990,1996,104.751
AUS,Australia,Greenhouse gases,INDEX_1990,1997,107.575
AUS,Australia,Greenhouse gases,INDEX_1990,1998,110.93
AUS,Australia,Greenhouse gases,INDEX_1990,1999,112.338
AUS,Australia,Greenhouse gases,INDEX_1990,2000,115.014
AUS,Australia,Greenhouse gases,INDEX_1990,2001,116.852
AUS,Australia,Greenhouse gases,INDEX_1990,2002,117.71
AUS,Australia,Greenhouse gases,INDEX_1990,2003,117.74
AUS,Australia,Greenhouse gases,INDEX_1990,2004,121.8
AUS,Australia,Greenhouse gases,INDEX_1990,2005,123.304
AUS,Australia,Greenhouse gases,INDEX_1990,2006,124.345
AUS,Australia,Greenhouse gases,INDEX_1990,2007,125.887
AUS,Australia,Greenhouse gases,INDEX_1990,2008,126.541
AUS,Australia,Greenhouse gases,INDEX_1990,2009,127.219
AUS,Australia,Greenhouse gases,INDEX_1990,2010,126.143
AUS,Australia,Greenhouse gases,INDEX_1990,2011,126.559
AUS,Australia,Greenhouse gases,INDEX_1990,2012,127.319
AUS,Australia,Greenhouse gases,INDEX_1990,2013,125.056
AUS,Australia,Greenhouse gases,INDEX_1990,2014,123.75
AUS,Australia,Greenhouse gases,INDEX_1990,2015,125.683
AUS,Australia,Greenhouse gases,INDEX_1990,2016,127.807
AUS,Australia,Greenhouse gases,INDEX_1990,2017,129.427
AUS,Australia,Greenhouse gases,INDEX_1990,2018,129.806
AUS,Australia,Greenhouse gases,INDEX_1990,2019,128.329
AUS,Australia,Greenhouse gases,INDEX_1990,2020,123.991
AUS,Australia,Greenhouse gases,GHG_CAP,1990,24.941
AUS,Australia,Greenhouse gases,GHG_CAP,1991,24.629
AUS,Australia,Greenhouse gases,GHG_CAP,1992,24.571
AUS,Australia,Greenhouse gases,GHG_CAP,1993,24.405
AUS,Australia,Greenhouse gases,GHG_CAP,1994,24.198
AUS,Australia,Greenhouse gases,GHG_CAP,1995,24.397
AUS,Australia,Greenhouse gases,GHG_CAP,1996,24.464
AUS,Australia,Greenhouse gases,GHG_CAP,1997,24.853
AUS,Australia,Greenhouse gases,GHG_CAP,1998,25.374
AUS,Australia,Greenhouse gases,GHG_CAP,1999,25.416
AUS,Australia,Greenhouse gases,GHG_CAP,2000,25.726
AUS,Australia,Greenhouse gases,GHG_CAP,2001,25.803
AUS,Australia,Greenhouse gases,GHG_CAP,2002,25.699
AUS,Australia,Greenhouse gases,GHG_CAP,2003,25.411
AUS,Australia,Greenhouse gases,GHG_CAP,2004,26.008
AUS,Australia,Greenhouse gases,GHG_CAP,2005,26.011
AUS,Australia,Greenhouse gases,GHG_CAP,2006,25.879
AUS,Australia,Greenhouse gases,GHG_CAP,2007,25.726
AUS,Australia,Greenhouse gases,GHG_CAP,2008,25.346
AUS,Australia,Greenhouse gases,GHG_CAP,2009,24.962
AUS,Australia,Greenhouse gases,GHG_CAP,2010,24.369
AUS,Australia,Greenhouse gases,GHG_CAP,2011,24.112
AUS,Australia,Greenhouse gases,GHG_CAP,2012,23.837
AUS,Australia,Greenhouse gases,GHG_CAP,2013,23.014
AUS,Australia,Greenhouse gases,GHG_CAP,2014,22.436
AUS,Australia,Greenhouse gases,GHG_CAP,2015,22.461
AUS,Australia,Greenhouse gases,GHG_CAP,2016,22.487
AUS,Australia,Greenhouse gases,GHG_CAP,2017,22.392
AUS,Australia,Greenhouse gases,GHG_CAP,2018,22.115
AUS,Australia,Greenhouse gases,GHG_CAP,2019,21.533
AUS,Australia,Greenhouse gases,GHG_CAP,2020,20.536
AUS,Australia,Carbon dioxide,TOTAL,1990,278154.156
AUS,Australia,Carbon dioxide,TOTAL,1991,279528.51
AUS,Australia,Carbon dioxide,TOTAL,1992,284525.345
AUS,Australia,Carbon dioxide,TOTAL,1993,288870.537
AUS,Australia,Carbon dioxide,TOTAL,1994,293696.553
AUS,Australia,Carbon dioxide,TOTAL,1995,305002.996
AUS,Australia,Carbon dioxide,TOTAL,1996,311886.129
AUS,Australia,Carbon dioxide,TOTAL,1997,320282.63
AUS,Australia,Carbon dioxide,TOTAL,1998,334075.978
AUS,Australia,Carbon dioxide,TOTAL,1999,343488.633
AUS,Australia,Carbon dioxide,TOTAL,2000,349635.487
AUS,Australia,Carbon dioxide,TOTAL,2001,357132.367
AUS,Australia,Carbon dioxide,TOTAL,2002,361540.81
AUS,Australia,Carbon dioxide,TOTAL,2003,369279.512
AUS,Australia,Carbon dioxide,TOTAL,2004,382820.89
AUS,Australia,Carbon dioxide,TOTAL,2005,386153.533
AUS,Australia,Carbon dioxide,TOTAL,2006,392384.302
AUS,Australia,Carbon dioxide,TOTAL,2007,399624.803
AUS,Australia,Carbon dioxide,TOTAL,2008,404233.067
AUS,Australia,Carbon dioxide,TOTAL,2009,407065.015
AUS,Australia,Carbon dioxide,TOTAL,2010,405103.32
AUS,Australia,Carbon dioxide,TOTAL,2011,403828.773
AUS,Australia,Carbon dioxide,TOTAL,2012,406150.91
AUS,Australia,Carbon dioxide,TOTAL,2013,397887.458
AUS,Australia,Carbon dioxide,TOTAL,2014,393952.876
AUS,Australia,Carbon dioxide,TOTAL,2015,401793.062
AUS,Australia,Carbon dioxide,TOTAL,2016,411264.288
AUS,Australia,Carbon dioxide,TOTAL,2017,414358.312
AUS,Australia,Carbon dioxide,TOTAL,2018,416283.827
AUS,Australia,Carbon dioxide,TOTAL,2019,416356.588
AUS,Australia,Carbon dioxide,TOTAL,2020,399922.128
AUS,Australia,Methane,TOTAL,1990,125133.249
AUS,Australia,Methane,TOTAL,1991,124199.252
AUS,Australia,Methane,TOTAL,1992,123239.844
AUS,Australia,Methane,TOTAL,1993,120116.183
AUS,Australia,Methane,TOTAL,1994,117269.417
AUS,Australia,Methane,TOTAL,1995,115838.534
AUS,Australia,Methane,TOTAL,1996,115157.293
AUS,Australia,Methane,TOTAL,1997,118004.542
AUS,Australia,Methane,TOTAL,1998,117834.999
AUS,Australia,Methane,TOTAL,1999,114164.528
AUS,Australia,Methane,TOTAL,2000,118052.176
AUS,Australia,Methane,TOTAL,2001,117110.619
AUS,Australia,Methane,TOTAL,2002,115485.969
AUS,Australia,Methane,TOTAL,2003,108530.051
AUS,Australia,Methane,TOTAL,2004,110016.933
AUS,Australia,Methane,TOTAL,2005,112300.306
AUS,Australia,Methane,TOTAL,2006,111294.128
AUS,Australia,Methane,TOTAL,2007,111645.922
AUS,Australia,Methane,TOTAL,2008,109033.21
AUS,Australia,Methane,TOTAL,2009,107797.783
AUS,Australia,Methane,TOTAL,2010,104768.449
AUS,Australia,Methane,TOTAL,2011,106310.044
AUS,Australia,Methane,TOTAL,2012,106641.053
AUS,Australia,Methane,TOTAL,2013,106249.156
AUS,Australia,Methane,TOTAL,2014,103494.595
AUS,Australia,Methane,TOTAL,2015,103955.984
AUS,Australia,Methane,TOTAL,2016,103078.58
AUS,Australia,Methane,TOTAL,2017,105002.792
AUS,Australia,Methane,TOTAL,2018,105796.248
AUS,Australia,Methane,TOTAL,2019,99367.624
AUS,Australia,Methane,TOTAL,2020,97303.626
