COU,Inventor country,Technology domain,Year,Value
AUS,Australia,Environment-related technologies,1995,134.83
AUS,Australia,Environment-related technologies,2000,203.42
AUS,Australia,Environment-related technologies,2005,263.75
AUS,Australia,Environment-related technologies,2010,313.85
AUS,Australia,Environment-related technologies,2011,305.68
AUS,Australia,Environment-related technologies,2012,267.7
AUS,Australia,Environment-related technologies,2013,270.65
AUS,Australia,Environment-related technologies,2014,275.37
AUS,Australia,Environment-related technologies,2015,267.45
AUS,Australia,Environment-related technologies,2016,283.2
AUS,Australia,Environment-related technologies,2017,268.69
AUS,Australia,Environment-related technologies,2018,235.57
AUS,Australia,Environment-related technologies,2019,251.7
AUS,Australia,Air pollution abatement,1995,26.83
AUS,Australia,Air pollution abatement,2000,28.17
AUS,Australia,Air pollution abatement,2005,44.83
AUS,Australia,Air pollution abatement,2010,41.67
AUS,Australia,Air pollution abatement,2011,40.5
AUS,Australia,Air pollution abatement,2012,33.75
AUS,Australia,Air pollution abatement,2013,33.58
AUS,Australia,Air pollution abatement,2014,21.5
AUS,Australia,Air pollution abatement,2015,23.08
AUS,Australia,Air pollution abatement,2016,23.0
AUS,Australia,Air pollution abatement,2017,34.33
AUS,Australia,Air pollution abatement,2018,22.0
AUS,Australia,Air pollution abatement,2019,19.2
AUT,Austria,Environment-related technologies,1995,135.33
AUT,Austria,Environment-related technologies,2000,214.15
AUT,Austria,Environment-related technologies,2005,230.5
AUT,Austria,Environment-related technologies,2010,396.06
AUT,Austria,Environment-related technologies,2011,397.6
AUT,Austria,Environment-related technologies,2012,407.05
AUT,Austria,Environment-related technologies,2013,326.56
AUT,Austria,Environment-related technologies,2014,356.14
AUT,Austria,Environment-related technologies,2015,355.98
AUT,Austria,Environment-related technologies,2016,327.33
AUT,Austria,Environment-related technologies,2017,357.53
AUT,Austria,Environment-related technologies,2018,361.06
AUT,Austria,Environment-related technologies,2019,359.93
AUT,Austria,Air pollution abatement,1995,38.0
AUT,Austria,Air pollution abatement,2000,67.0
AUT,Austria,Air pollution abatement,2005,82.58
AUT,Austria,Air pollution abatement,2010,93.09
AUT,Austria,Air pollution abatement,2011,87.5
AUT,Austria,Air pollution abatement,2012,77.03
AUT,Austria,Air pollution abatement,2013,53.64
AUT,Austria,Air pollution abatement,2014,100.17
AUT,Austria,Air pollution abatement,2015,99.17
AUT,Austria,Air pollution abatement,2016,77.17
AUT,Austria,Air pollution abatement,2017,61.17
AUT,Austria,Air pollution abatement,2018,102.5
AUT,Austria,Air pollution abatement,2019,49.5
BEL,Belgium,Environment-related technologies,1995,57.82
BEL,Belgium,Environment-related technologies,2000,109.6
BEL,Belgium,Environment-related technologies,2005,145.87
BEL,Belgium,Environment-related technologies,2010,224.48
BEL,Belgium,Environment-related technologies,2011,192.27
BEL,Belgium,Environment-related technologies,2012,197.87
BEL,Belgium,Environment-related technologies,2013,215.71
BEL,Belgium,Environment-related technologies,2014,216.48
BEL,Belgium,Environment-related technologies,2015,216.31
BEL,Belgium,Environment-related technologies,2016,237.94
BEL,Belgium,Environment-related technologies,2017,230.17
BEL,Belgium,Environment-related technologies,2018,243.02
BEL,Belgium,Environment-related technologies,2019,172.85
BEL,Belgium,Air pollution abatement,1995,11.03
BEL,Belgium,Air pollution abatement,2000,27.2
BEL,Belgium,Air pollution abatement,2005,35.32
BEL,Belgium,Air pollution abatement,2010,35.33
BEL,Belgium,Air pollution abatement,2011,37.87
BEL,Belgium,Air pollution abatement,2012,32.5
BEL,Belgium,Air pollution abatement,2013,36.83
BEL,Belgium,Air pollution abatement,2014,63.08
BEL,Belgium,Air pollution abatement,2015,47.78
BEL,Belgium,Air pollution abatement,2016,44.93
BEL,Belgium,Air pollution abatement,2017,39.73
BEL,Belgium,Air pollution abatement,2018,51.53
BEL,Belgium,Air pollution abatement,2019,28.67
CAN,Canada,Environment-related technologies,1995,214.25
CAN,Canada,Environment-related technologies,2000,361.87
CAN,Canada,Environment-related technologies,2005,554.58
CAN,Canada,Environment-related technologies,2010,756.05
CAN,Canada,Environment-related technologies,2011,781.7
CAN,Canada,Environment-related technologies,2012,746.43
CAN,Canada,Environment-related technologies,2013,719.59
CAN,Canada,Environment-related technologies,2014,688.98
