country,region,source,type,savings,cost
Japan,Asia Pacific,Onshore conventional gas,Replace pumps,0.33000001311302185,-10.819999694824219
Korea,Asia Pacific,Offshore oil,Replace with instrument air systems,0.009999999776482582,-10.479999542236328
Japan,Asia Pacific,Downstream gas,Replace with instrument air systems,0.5299999713897705,-10.460000038146973
Japan,Asia Pacific,Offshore gas,Replace with instrument air systems,0.019999999552965164,-10.460000038146973
Japan,Asia Pacific,Offshore oil,Replace with instrument air systems,0.009999999776482582,-10.460000038146973
Japan,Asia Pacific,Onshore conventional gas,Blowdown capture,0.7900000214576721,-10.1899995803833
Japan,Asia Pacific,Onshore conventional oil,Replace pumps,0.07000000029802322,-9.890000343322754
Japan,Asia Pacific,Onshore conventional oil,Upstream LDAR,0.05000000074505806,-9.470000267028809
Japan,Asia Pacific,Onshore conventional gas,Upstream LDAR,1.4199999570846558,-9.470000267028809
Malaysia,Asia Pacific,Downstream gas,Replace with instrument air systems,0.23999999463558197,-9.25
Malaysia,Asia Pacific,Offshore gas,Replace with instrument air systems,6.320000171661377,-9.25
Malaysia,Asia Pacific,Offshore oil,Replace with instrument air systems,6.239999771118164,-9.25
Other countries in Southeast Asia,Asia Pacific,Offshore oil,Replace with instrument air systems,0.05999999865889549,-9.25
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Replace with instrument air systems,2.9200000762939453,-9.25
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Replace with instrument air systems,0.1599999964237213,-9.25
Brunei,Asia Pacific,Offshore oil,Replace with instrument air systems,0.8100000023841858,-9.25
Brunei,Asia Pacific,Offshore gas,Replace with instrument air systems,0.7400000095367432,-9.25
Brunei,Asia Pacific,Downstream gas,Replace with instrument air systems,0.019999999552965164,-9.25
Philippines,Asia Pacific,Offshore oil,Replace with instrument air systems,0.3100000023841858,-9.25
Philippines,Asia Pacific,Offshore gas,Replace with instrument air systems,0.8199999928474426,-9.25
Philippines,Asia Pacific,Downstream gas,Replace with instrument air systems,0.03999999910593033,-9.25
Thailand,Asia Pacific,Downstream gas,Replace with instrument air systems,0.5600000023841858,-9.25
Thailand,Asia Pacific,Offshore gas,Replace with instrument air systems,4.590000152587891,-9.25
Thailand,Asia Pacific,Offshore oil,Replace with instrument air systems,4.369999885559082,-9.25
Vietnam,Asia Pacific,Offshore oil,Replace with instrument air systems,3.630000114440918,-9.25
Vietnam,Asia Pacific,Offshore gas,Replace with instrument air systems,1.399999976158142,-9.25
Vietnam,Asia Pacific,Downstream gas,Replace with instrument air systems,0.09000000357627869,-9.25
Thailand,Asia Pacific,Onshore conventional gas,Replace pumps,0.20000000298023224,-9.1899995803833
Brunei,Asia Pacific,Onshore conventional gas,Replace pumps,0.03999999910593033,-9.1899995803833
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Replace pumps,0.05999999865889549,-9.1899995803833
Other countries in Southeast Asia,Asia Pacific,Onshore conventional oil,Upstream LDAR,0.09000000357627869,-9.039999961853027
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Upstream LDAR,0.23999999463558197,-9.039999961853027
Malaysia,Asia Pacific,Onshore conventional oil,Upstream LDAR,0.05000000074505806,-9.039999961853027
Brunei,Asia Pacific,Onshore conventional oil,Upstream LDAR,0.03999999910593033,-9.039999961853027
Brunei,Asia Pacific,Onshore conventional gas,Upstream LDAR,0.1599999964237213,-9.039999961853027
Thailand,Asia Pacific,Onshore conventional oil,Upstream LDAR,0.41999998688697815,-9.039999961853027
Thailand,Asia Pacific,Onshore conventional gas,Upstream LDAR,0.8600000143051147,-9.039999961853027
Thailand,Asia Pacific,Offshore oil,Upstream LDAR,2.819999933242798,-8.800000190734863
Thailand,Asia Pacific,Offshore gas,Upstream LDAR,17.329999923706055,-8.800000190734863
Philippines,Asia Pacific,Offshore oil,Upstream LDAR,0.20000000298023224,-8.800000190734863
Philippines,Asia Pacific,Offshore gas,Upstream LDAR,3.0899999141693115,-8.800000190734863
Vietnam,Asia Pacific,Offshore oil,Upstream LDAR,2.3399999141693115,-8.800000190734863
Vietnam,Asia Pacific,Offshore gas,Upstream LDAR,5.289999961853027,-8.800000190734863
Brunei,Asia Pacific,Offshore oil,Upstream LDAR,0.5199999809265137,-8.800000190734863
Brunei,Asia Pacific,Offshore gas,Upstream LDAR,2.7899999618530273,-8.800000190734863
Malaysia,Asia Pacific,Offshore oil,Upstream LDAR,4.019999980926514,-8.800000190734863
Malaysia,Asia Pacific,Offshore gas,Upstream LDAR,23.829999923706055,-8.800000190734863
Other countries in Southeast Asia,Asia Pacific,Offshore oil,Upstream LDAR,0.03999999910593033,-8.800000190734863
Other countries in Southeast Asia,Asia Pacific,Offshore gas,Upstream LDAR,11.020000457763672,-8.800000190734863
Japan,Asia Pacific,Offshore gas,Upstream LDAR,0.07000000029802322,-8.600000381469727
Japan,Asia Pacific,Offshore gas,Vapour recovery units,0.03999999910593033,-8.59000015258789
Other countries in Southeast Asia,Asia Pacific,Onshore conventional gas,Blowdown capture,0.12999999523162842,-8.5
Brunei,Asia Pacific,Onshore conventional gas,Blowdown capture,0.09000000357627869,-8.5
Thailand,Asia Pacific,Onshore conventional gas,Blowdown capture,0.5,-8.5
Japan,Asia Pacific,Offshore oil,Vapour recovery units,0.019999999552965164,-8.489999771118164
Vietnam,Asia Pacific,Onshore conventional oil,Vapour recovery units,0.6399999856948853,-8.4399995803833
Vietnam,Asia Pacific,Offshore oil,Vapour recovery units,27.450000762939453,-8.4399995803833
