The Energy Technology RD&D Budgets database and an overview of the database are available here: https://www.iea.org/data-and-statistics/data-product/energy-technology-rd-and-d-budget-database-2
If you have any question about the data please contact RDD@iea.org
Please note that your use of IEA data is subject to the Terms and Conditions found here: https://www.iea.org/terms
""
COUNTRY,PRODUCT,TIME,VALUE
AUSTRALI,USEXRMEI,1974,0.693
AUSTRALI,USEXRMEI,1975,0.76
AUSTRALI,USEXRMEI,1976,0.816
AUSTRALI,USEXRMEI,1977,0.9
AUSTRALI,USEXRMEI,1978,0.873
AUSTRALI,USEXRMEI,1979,0.895
AUSTRALI,USEXRMEI,1980,0.877
AUSTRALI,USEXRMEI,1981,0.8690000000000001
AUSTRALI,USEXRMEI,1982,0.986
AUSTRALI,USEXRMEI,1983,1.109
AUSTRALI,USEXRMEI,1984,1.141
AUSTRALI,USEXRMEI,1985,1.432
AUSTRALI,USEXRMEI,1986,1.496
AUSTRALI,USEXRMEI,1987,1.429
AUSTRALI,USEXRMEI,1988,1.281
AUSTRALI,USEXRMEI,1989,1.265
AUSTRALI,USEXRMEI,1990,1.2819999999999998
AUSTRALI,USEXRMEI,1991,1.284
AUSTRALI,USEXRMEI,1992,1.3619999999999999
AUSTRALI,USEXRMEI,1993,1.473
AUSTRALI,USEXRMEI,1994,1.369
AUSTRALI,USEXRMEI,1995,1.35
AUSTRALI,USEXRMEI,1996,1.2770000000000001
AUSTRALI,USEXRMEI,1997,1.348
AUSTRALI,USEXRMEI,1998,1.5919999999999999
AUSTRALI,USEXRMEI,1999,1.55
AUSTRALI,USEXRMEI,2000,1.7269999999999999
AUSTRALI,USEXRMEI,2001,1.935
AUSTRALI,USEXRMEI,2002,1.841
AUSTRALI,USEXRMEI,2003,1.5419999999999998
AUSTRALI,USEXRMEI,2004,1.359
AUSTRALI,USEXRMEI,2005,1.3130000000000002
AUSTRALI,USEXRMEI,2006,1.328
AUSTRALI,USEXRMEI,2007,1.195
AUSTRALI,USEXRMEI,2008,1.198
AUSTRALI,USEXRMEI,2009,1.2819999999999998
AUSTRALI,USEXRMEI,2010,1.09
AUSTRALI,USEXRMEI,2011,0.9690000000000001
AUSTRALI,USEXRMEI,2012,0.966
AUSTRALI,USEXRMEI,2013,1.036
AUSTRALI,USEXRMEI,2014,1.109
AUSTRALI,USEXRMEI,2015,1.331
AUSTRALI,USEXRMEI,2016,1.345
