The Energy Technology RD&D Budgets database and an overview of the database are available here: https://www.iea.org/data-and-statistics/data-product/energy-technology-rd-and-d-budget-database-2
If you have any question about the data please contact RDD@iea.org
Please note that your use of IEA data is subject to the Terms and Conditions found here: https://www.iea.org/terms
""
PRODUCT,COUNTRY,TIME,VALUE
RDD1000GDP,AUSTRALI,1979,0.157
RDD1000GDP,AUSTRALI,1980,0.292
RDD1000GDP,AUSTRALI,1981,0.333
RDD1000GDP,AUSTRALI,1983,0.486
RDD1000GDP,AUSTRALI,1985,0.272
RDD1000GDP,AUSTRALI,1987,0.205
RDD1000GDP,AUSTRALI,1989,0.236
RDD1000GDP,AUSTRALI,1993,0.243
RDD1000GDP,AUSTRALI,1995,0.228
RDD1000GDP,AUSTRALI,1997,0.275
RDD1000GDP,AUSTRALI,1999,0.214
RDD1000GDP,AUSTRALI,2001,0.213
RDD1000GDP,AUSTRALI,2003,0.183
RDD1000GDP,AUSTRALI,2004,0.351
RDD1000GDP,AUSTRALI,2005,0.242
RDD1000GDP,AUSTRALI,2006,0.257
RDD1000GDP,AUSTRALI,2007,0.273
RDD1000GDP,AUSTRALI,2008,0.271
RDD1000GDP,AUSTRALI,2009,0.364
RDD1000GDP,AUSTRALI,2010,0.356
RDD1000GDP,AUSTRALI,2011,0.403
RDD1000GDP,AUSTRALI,2012,0.509
RDD1000GDP,AUSTRALI,2013,0.613
RDD1000GDP,AUSTRALI,2014,0.193
RDD1000GDP,AUSTRALI,2015,0.171
RDD1000GDP,AUSTRALI,2016,0.100
RDD1000GDP,AUSTRALI,2017,0.113
RDD1000GDP,AUSTRALI,2018,0.163
RDD1000GDP,AUSTRALI,2019,0.118
RDD1000GDP,AUSTRALI,2020,0.149
RDD1000GDP,AUSTRALI,2021,0.188
RDD1000GDP,AUSTRALI,1974,..
RDD1000GDP,AUSTRALI,1975,..
RDD1000GDP,AUSTRALI,1976,..
RDD1000GDP,AUSTRALI,1977,..
RDD1000GDP,AUSTRALI,1978,..
RDD1000GDP,AUSTRALI,1982,..
RDD1000GDP,AUSTRALI,1984,..
RDD1000GDP,AUSTRALI,1986,..
RDD1000GDP,AUSTRALI,1988,..
RDD1000GDP,AUSTRALI,1990,..
RDD1000GDP,AUSTRALI,1991,..
RDD1000GDP,AUSTRALI,1992,..
RDD1000GDP,AUSTRALI,1994,..
RDD1000GDP,AUSTRALI,1996,..
RDD1000GDP,AUSTRALI,1998,..
RDD1000GDP,AUSTRALI,2000,..
RDD1000GDP,AUSTRALI,2002,..
RDD1000GDP,AUSTRIA,1977,0.325
RDD1000GDP,AUSTRIA,1978,0.404
RDD1000GDP,AUSTRIA,1979,0.323
RDD1000GDP,AUSTRIA,1980,0.341
RDD1000GDP,AUSTRIA,1981,0.316
RDD1000GDP,AUSTRIA,1982,0.342
RDD1000GDP,AUSTRIA,1983,0.316
RDD1000GDP,AUSTRIA,1984,0.345
RDD1000GDP,AUSTRIA,1985,0.322
RDD1000GDP,AUSTRIA,1986,0.194
RDD1000GDP,AUSTRIA,1987,0.167
RDD1000GDP,AUSTRIA,1988,0.194
RDD1000GDP,AUSTRIA,1989,0.107
RDD1000GDP,AUSTRIA,1990,0.073
RDD1000GDP,AUSTRIA,1991,0.121
RDD1000GDP,AUSTRIA,1992,0.098
RDD1000GDP,AUSTRIA,1993,0.130
RDD1000GDP,AUSTRIA,1994,0.140
RDD1000GDP,AUSTRIA,1995,0.137
RDD1000GDP,AUSTRIA,1996,0.133
RDD1000GDP,AUSTRIA,1997,0.136
RDD1000GDP,AUSTRIA,1998,0.139
RDD1000GDP,AUSTRIA,1999,0.130
RDD1000GDP,AUSTRIA,2000,0.109
RDD1000GDP,AUSTRIA,2001,0.135
RDD1000GDP,AUSTRIA,2002,0.129
RDD1000GDP,AUSTRIA,2003,0.108
RDD1000GDP,AUSTRIA,2004,0.138
RDD1000GDP,AUSTRIA,2005,0.132
RDD1000GDP,AUSTRIA,2006,0.158
RDD1000GDP,AUSTRIA,2007,0.112
RDD1000GDP,AUSTRIA,2008,0.242
RDD1000GDP,AUSTRIA,2009,0.320
RDD1000GDP,AUSTRIA,2010,0.409
RDD1000GDP,AUSTRIA,2011,0.390
RDD1000GDP,AUSTRIA,2012,0.377
RDD1000GDP,AUSTRIA,2013,0.385
RDD1000GDP,AUSTRIA,2014,0.430
RDD1000GDP,AUSTRIA,2015,0.373
RDD1000GDP,AUSTRIA,2016,0.394
RDD1000GDP,AUSTRIA,2017,0.377
RDD1000GDP,AUSTRIA,2018,0.393
RDD1000GDP,AUSTRIA,2019,0.375
RDD1000GDP,AUSTRIA,2020,0.409
RDD1000GDP,AUSTRIA,2021,0.555
RDD1000GDP,AUSTRIA,1974,..
RDD1000GDP,AUSTRIA,1975,..
RDD1000GDP,AUSTRIA,1976,..
RDD1000GDP,BELGIUM,1974,1.299
RDD1000GDP,BELGIUM,1975,1.498
RDD1000GDP,BELGIUM,1976,1.366
RDD1000GDP,BELGIUM,1977,1.128
RDD1000GDP,BELGIUM,1978,0.865
RDD1000GDP,BELGIUM,1979,0.896
RDD1000GDP,BELGIUM,1980,1.072
RDD1000GDP,BELGIUM,1981,0.936
RDD1000GDP,BELGIUM,1982,0.860
RDD1000GDP,BELGIUM,1983,0.784
RDD1000GDP,BELGIUM,1984,0.812
RDD1000GDP,BELGIUM,1985,0.736
RDD1000GDP,BELGIUM,1986,0.663
RDD1000GDP,BELGIUM,1987,0.546
RDD1000GDP,BELGIUM,1988,0.436
RDD1000GDP,BELGIUM,1989,0.290
RDD1000GDP,BELGIUM,1994,0.209
RDD1000GDP,BELGIUM,1995,0.208
RDD1000GDP,BELGIUM,1996,0.263
RDD1000GDP,BELGIUM,1997,0.243
RDD1000GDP,BELGIUM,1998,0.303
RDD1000GDP,BELGIUM,1999,0.205
RDD1000GDP,BELGIUM,2007,0.274
RDD1000GDP,BELGIUM,2010,0.154
RDD1000GDP,BELGIUM,2011,0.401
RDD1000GDP,BELGIUM,2012,0.546
RDD1000GDP,BELGIUM,2013,0.496
RDD1000GDP,BELGIUM,2014,0.414
RDD1000GDP,BELGIUM,2015,0.387
RDD1000GDP,BELGIUM,2016,0.393
RDD1000GDP,BELGIUM,2017,0.360
RDD1000GDP,BELGIUM,2018,0.376
RDD1000GDP,BELGIUM,2019,0.496
RDD1000GDP,BELGIUM,2020,0.638
RDD1000GDP,BELGIUM,2021,0.524
RDD1000GDP,BELGIUM,1990,..
RDD1000GDP,BELGIUM,1991,..
RDD1000GDP,BELGIUM,1992,..
RDD1000GDP,BELGIUM,1993,..
RDD1000GDP,BELGIUM,2000,..
RDD1000GDP,BELGIUM,2001,..
RDD1000GDP,BELGIUM,2002,..
RDD1000GDP,BELGIUM,2003,..
RDD1000GDP,BELGIUM,2004,..
RDD1000GDP,BELGIUM,2005,..
RDD1000GDP,BELGIUM,2006,..
RDD1000GDP,BELGIUM,2008,..
RDD1000GDP,BELGIUM,2009,..
RDD1000GDP,CANADA,1974,0.854
RDD1000GDP,CANADA,1975,0.780
RDD1000GDP,CANADA,1976,0.780
RDD1000GDP,CANADA,1977,0.827
RDD1000GDP,CANADA,1978,1.024
RDD1000GDP,CANADA,1979,0.942
RDD1000GDP,CANADA,1980,0.865
RDD1000GDP,CANADA,1981,0.984
RDD1000GDP,CANADA,1982,1.062
RDD1000GDP,CANADA,1983,1.124
RDD1000GDP,CANADA,1984,1.122
RDD1000GDP,CANADA,1985,0.985
RDD1000GDP,CANADA,1986,0.927
RDD1000GDP,CANADA,1987,0.719
RDD1000GDP,CANADA,1988,0.635
RDD1000GDP,CANADA,1989,0.550
RDD1000GDP,CANADA,1990,0.544
RDD1000GDP,CANADA,1991,0.516
RDD1000GDP,CANADA,1992,0.512
RDD1000GDP,CANADA,1993,0.423
RDD1000GDP,CANADA,1994,0.407
RDD1000GDP,CANADA,1995,0.387
RDD1000GDP,CANADA,1996,0.350
RDD1000GDP,CANADA,1997,0.293
RDD1000GDP,CANADA,1998,0.265
RDD1000GDP,CANADA,1999,0.247
RDD1000GDP,CANADA,2000,0.241
RDD1000GDP,CANADA,2001,0.256
RDD1000GDP,CANADA,2002,0.269
RDD1000GDP,CANADA,2003,0.290
RDD1000GDP,CANADA,2004,0.235
RDD1000GDP,CANADA,2005,0.351
RDD1000GDP,CANADA,2006,0.405
RDD1000GDP,CANADA,2007,0.402
RDD1000GDP,CANADA,2008,0.412
RDD1000GDP,CANADA,2009,0.642
RDD1000GDP,CANADA,2010,0.708
RDD1000GDP,CANADA,2011,0.576
RDD1000GDP,CANADA,2012,0.697
RDD1000GDP,CANADA,2013,0.704
RDD1000GDP,CANADA,2014,0.469
RDD1000GDP,CANADA,2015,0.449
RDD1000GDP,CANADA,2016,0.326
RDD1000GDP,CANADA,2017,0.373
RDD1000GDP,CANADA,2018,0.518
RDD1000GDP,CANADA,2019,0.465
RDD1000GDP,CANADA,2020,0.526
RDD1000GDP,CANADA,2021,0.601
RDD1000GDP,CZECH,2003,0.063
RDD1000GDP,CZECH,2004,0.042
RDD1000GDP,CZECH,2005,0.035
RDD1000GDP,CZECH,2006,0.040
RDD1000GDP,CZECH,2007,0.025
RDD1000GDP,CZECH,2008,0.218
RDD1000GDP,CZECH,2009,0.245
RDD1000GDP,CZECH,2010,0.202
RDD1000GDP,CZECH,2011,0.297
RDD1000GDP,CZECH,2012,0.297
RDD1000GDP,CZECH,2013,0.263
RDD1000GDP,CZECH,2014,0.231
RDD1000GDP,CZECH,2015,0.244
RDD1000GDP,CZECH,2016,0.318
RDD1000GDP,CZECH,2017,0.342
RDD1000GDP,CZECH,2018,0.354
RDD1000GDP,CZECH,2019,0.510
RDD1000GDP,CZECH,2020,0.413
RDD1000GDP,CZECH,2021,0.494
RDD1000GDP,CZECH,1974,..
RDD1000GDP,CZECH,1975,..
RDD1000GDP,CZECH,1976,..
RDD1000GDP,CZECH,1977,..
RDD1000GDP,CZECH,1978,..
RDD1000GDP,CZECH,1979,..
RDD1000GDP,CZECH,1980,..
RDD1000GDP,CZECH,1981,..
RDD1000GDP,CZECH,1982,..
RDD1000GDP,CZECH,1983,..
RDD1000GDP,CZECH,1984,..
RDD1000GDP,CZECH,1985,..
RDD1000GDP,CZECH,1986,..
RDD1000GDP,CZECH,1987,..
RDD1000GDP,CZECH,1988,..
RDD1000GDP,CZECH,1989,..
RDD1000GDP,CZECH,1990,..
RDD1000GDP,CZECH,1991,..
RDD1000GDP,CZECH,1992,..
RDD1000GDP,CZECH,1993,..
RDD1000GDP,CZECH,1994,..
RDD1000GDP,CZECH,1995,..
RDD1000GDP,CZECH,1996,..
RDD1000GDP,CZECH,1997,..
RDD1000GDP,CZECH,1998,..
RDD1000GDP,CZECH,1999,..
RDD1000GDP,CZECH,2000,..
RDD1000GDP,CZECH,2001,..
RDD1000GDP,CZECH,2002,..
RDD1000GDP,DENMARK,1975,0.215
RDD1000GDP,DENMARK,1976,0.223
RDD1000GDP,DENMARK,1977,0.328
RDD1000GDP,DENMARK,1978,0.409
RDD1000GDP,DENMARK,1979,0.502
RDD1000GDP,DENMARK,1980,0.300
RDD1000GDP,DENMARK,1981,0.162
RDD1000GDP,DENMARK,1982,0.137
RDD1000GDP,DENMARK,1983,0.143
RDD1000GDP,DENMARK,1984,0.125
RDD1000GDP,DENMARK,1985,0.106
RDD1000GDP,DENMARK,1986,0.156
RDD1000GDP,DENMARK,1987,0.155
RDD1000GDP,DENMARK,1989,0.188
RDD1000GDP,DENMARK,1990,0.251
RDD1000GDP,DENMARK,1991,0.294
RDD1000GDP,DENMARK,1992,0.336
RDD1000GDP,DENMARK,1993,0.325
RDD1000GDP,DENMARK,1994,0.261
RDD1000GDP,DENMARK,1995,0.236
RDD1000GDP,DENMARK,1996,0.200
RDD1000GDP,DENMARK,1997,0.225
RDD1000GDP,DENMARK,1998,0.267
RDD1000GDP,DENMARK,1999,0.252
RDD1000GDP,DENMARK,2000,0.247
RDD1000GDP,DENMARK,2001,0.239
RDD1000GDP,DENMARK,2002,0.119
RDD1000GDP,DENMARK,2003,0.123
RDD1000GDP,DENMARK,2004,0.230
RDD1000GDP,DENMARK,2005,0.329
RDD1000GDP,DENMARK,2006,0.358
RDD1000GDP,DENMARK,2007,0.427
RDD1000GDP,DENMARK,2008,0.352
RDD1000GDP,DENMARK,2009,0.442
RDD1000GDP,DENMARK,2010,0.725
RDD1000GDP,DENMARK,2011,0.678
RDD1000GDP,DENMARK,2012,0.587
RDD1000GDP,DENMARK,2013,0.618
RDD1000GDP,DENMARK,2014,0.561
RDD1000GDP,DENMARK,2015,0.541
RDD1000GDP,DENMARK,2016,0.349
RDD1000GDP,DENMARK,2017,0.289
RDD1000GDP,DENMARK,2018,0.275
RDD1000GDP,DENMARK,2019,0.291
RDD1000GDP,DENMARK,2020,0.454
RDD1000GDP,DENMARK,2021,0.506
RDD1000GDP,DENMARK,1974,..
RDD1000GDP,DENMARK,1988,..
RDD1000GDP,ESTONIA,2011,0.494
RDD1000GDP,ESTONIA,2012,0.115
RDD1000GDP,ESTONIA,2013,0.327
RDD1000GDP,ESTONIA,2014,0.172
RDD1000GDP,ESTONIA,2015,0.219
RDD1000GDP,ESTONIA,2016,0.231
RDD1000GDP,ESTONIA,2017,0.146
RDD1000GDP,ESTONIA,2018,0.146
RDD1000GDP,ESTONIA,2019,0.140
RDD1000GDP,ESTONIA,2020,0.115
RDD1000GDP,ESTONIA,2021,0.049
RDD1000GDP,ESTONIA,1974,..
RDD1000GDP,ESTONIA,1975,..
RDD1000GDP,ESTONIA,1976,..
RDD1000GDP,ESTONIA,1977,..
RDD1000GDP,ESTONIA,1978,..
RDD1000GDP,ESTONIA,1979,..
RDD1000GDP,ESTONIA,1980,..
RDD1000GDP,ESTONIA,1981,..
RDD1000GDP,ESTONIA,1982,..
RDD1000GDP,ESTONIA,1983,..
RDD1000GDP,ESTONIA,1984,..
RDD1000GDP,ESTONIA,1985,..
RDD1000GDP,ESTONIA,1986,..
RDD1000GDP,ESTONIA,1987,..
RDD1000GDP,ESTONIA,1988,..
RDD1000GDP,ESTONIA,1989,..
RDD1000GDP,ESTONIA,1990,..
RDD1000GDP,ESTONIA,1991,..
RDD1000GDP,ESTONIA,1992,..
RDD1000GDP,ESTONIA,1993,..
RDD1000GDP,ESTONIA,1994,..
RDD1000GDP,ESTONIA,1995,..
RDD1000GDP,ESTONIA,1996,..
RDD1000GDP,ESTONIA,1997,..
RDD1000GDP,ESTONIA,1998,..
RDD1000GDP,ESTONIA,1999,..
RDD1000GDP,ESTONIA,2000,..
